  Page 1                                    Sun Apr  1 18:14:30 2018

  ******************************************************************
  *                           E P A N E T                          *
  *                   Hydraulic and Water Quality                  *
  *                   Analysis for Pipe Networks                   *
  *                         Version 2.00.12                        *
  ******************************************************************
  
  Scenario: Average Day  
  Date: 8/16/2016 4:09:48 PM  
   
      Input Data File ................... ../Data/final_input.inp
      Number of Junctions................ 299
      Number of Reservoirs............... 1
      Number of Tanks ................... 0
      Number of Pipes ................... 316
      Number of Pumps ................... 0
      Number of Valves .................. 2
      Headloss Formula .................. Hazen-Williams
      Hydraulic Timestep ................ 15.00 min
      Hydraulic Accuracy ................ 0.001000
      Status Check Frequency ............ 3
      Maximum Trials Checked ............ 10
      Damping Limit Threshold ........... 0.000000
      Maximum Trials .................... 40
      Quality Analysis .................. None
      Specific Gravity .................. 1.00
      Relative Kinematic Viscosity ...... 1.00
      Relative Chemical Diffusivity ..... 1.00
      Demand Multiplier ................. 1.00
      Total Duration .................... 30.00 min
      Reporting Criteria:
         All Nodes
         All Links
   
   
  Hydraulic Status:
  -----------------------------------------------------------------------
     0:00:00: Balanced after 8 trials
     0:00:00: Reservoir 329219 is emptying
   
     0:15:00: Balanced after 8 trials
     0:15:00: PRV 294718 changed from active to open
   
     0:30:00: Balanced after 1 trials
   
   
  Node Results at 0:00:00 hrs:
  ----------------------------------------------
                     Demand      Head  Pressure
  Node                  gpm        ft       psi
  ----------------------------------------------
  51956                0.18    300.29     71.96
  51961                0.27    300.29     72.77
  52038                1.45    300.29     76.23
  52080                1.54    300.29     87.09
  52086                0.46    300.29     86.89
  52087                0.00    300.29     88.56
  52108                1.15    300.29     70.37
  52157                0.00    300.29     94.62
  52160                0.00    300.29     95.18
  52166                0.16    300.29     93.64
  52174                1.16    300.29     93.56
  52179                0.00    300.29     69.39
  52188                0.43    300.29     69.31
  52189                0.00    317.00     92.39
  52197                0.38    300.29     66.85
  52198                0.50    300.29     67.22
  52222                0.30    300.29     65.82
  52254                0.00    300.31     74.93
  52258                0.00    316.99     82.56
  52261                0.00    300.31     74.51
  52262                0.00    300.31     74.16
  52264                0.00    300.31     74.26
  52307                0.11    300.29     65.57
  52344                0.22    300.29     69.32
  52350                0.61    300.29     69.32
  52359                0.12    300.29     71.22
  52360                0.00    300.29     71.56
  52392                0.00    300.30     70.45
  52407                0.79    300.29     84.88
  52413                0.56    300.29     86.51
  52417                0.00    300.30     69.06
  52418                0.00    300.30     68.97
  52423                1.30    300.29     86.61
  52438                1.83    300.28     86.61
  52439                1.62    300.26     98.66
  52451                0.06    300.26     98.50
  52460                0.57    300.28     86.16
  52472                1.18    300.28     82.62
  52484                0.00    300.26     92.36
  52501                1.05    300.26     91.91
  52509                0.75    300.26    103.90
